MRT,latitude,longitude
Buangkok MRT Station,1.38287001971672,103.893122569706
Sengkang MRT Station,1.39169462601522,103.895484694279
Punggol MRT Station,1.41492733388605,103.910166388177
Bras Basah MRT Station,1.2967526221395,103.850918752694
Esplanade MRT Station,1.2936577245386,103.855081226245
Promenade MRT Station,1.29399798636232,103.860350000188
Nicoll Highway MRT Station,1.29976684675139,103.86363696572
Stadium MRT Station,1.3028124684707,103.875337711089
Mountbatten MRT Station,1.30620190525331,103.882528081052
Dakota MRT Station,1.30854798388121,103.889064718377
MacPherson MRT Station,1.32615024457361,103.889298600376
Tai Seng MRT Station,1.33514564170352,103.888336109832
Bartley MRT Station,1.34250117805245,103.880177899184
Lorong Chuan MRT Station,1.35153128621585,103.864812169514
Marymount MRT Station,1.348707263451,103.839423132332
Caldecott MRT Station,1.33724561271722,103.840161782075
Botanic Gardens MRT Station,1.32211373558877,103.814984510627
Farrer Road MRT Station,1.31743915158967,103.807379214161
Holland Village MRT Station,1.31226422601049,103.796470444998
one-north MRT Station,1.29973599364922,103.787472120061
Kent Ridge MRT Station,1.29353698622126,103.784572366867
Haw Par Villa MRT Station,1.28260725045254,103.781795517386
Pasir Panjang MRT Station,1.27621352233766,103.791350313288
Labrador Park MRT Station,1.27225417749656,103.802631578766
Telok Blangah MRT Station,1.27070647717762,103.809761611219
Bayfront MRT Station,1.28187378879209,103.859079764874
Bukit Panjang MRT Station,1.37900211641036,103.761535114929
Cashew MRT Station,1.36981544925552,103.76443921414
Hillview MRT Station,1.36234486803558,103.767418254007
Beauty World MRT Station,1.34122317558549,103.775794285083
King Albert Park MRT Station,1.335893496278,103.783235863233
Sixth Avenue MRT Station,1.33096058134451,103.796969279733
Tan Kah Kee MRT Station,1.32639224146351,103.806548201692
Stevens MRT Station,1.32006555750626,103.826024401924
Rochor MRT Station,1.30385218527656,103.852769428884
Downtown MRT Station,1.27944638178916,103.852840829581
Telok Ayer MRT Station,1.28206894769394,103.848648781083
Fort Canning MRT Station,1.29248194822996,103.844331362465
Bencoolen MRT Station,1.29891843369422,103.850353762717
Jalan Besar MRT Station,1.3051713878069,103.855295713435
Bendemeer MRT Station,1.31367252847691,103.862977620945
Geylang Bahru MRT Station,1.32130110228321,103.871622627142
Mattar MRT Station,1.32687671501334,103.883247509542
Ubi MRT Station,1.32997425973974,103.899226655439
Kaki Bukit MRT Station,1.33496735995428,103.908459338046
Bedok North MRT Station,1.33474211664091,103.91797832995
Bedok Reservoir MRT Station,1.33660782955099,103.932234623286
Tampines West MRT Station,1.3456336579777,103.938492495285
Tampines East MRT Station,1.35619148271544,103.9546344625
Upper Changi MRT Station,1.34173977444995,103.961472788634
Woodlands North MRT Station,1.44778217342648,103.7851355073
Woodlands South MRT Station,1.42748811362716,103.792729941333
